text,true_label,pred_label,confidence
mickey rourke hunt diane lane in elmore leonard s killshot it is not like mickey rourke ever really disappeared he ha had a steady string of appearance before he burst back on the scene he wa memorable in domino sin city man on fire once upon a time in mexico and get carter but in his powerful dramatic performance in the wrestler 2008 we see a full blown presentation of the character only hinted at in get carter whenever we get to know him rourke remains a cool but sleazy muscle bound slim ball this is an elmore leonard story and production leonard wrote such notable movie a taunt western thriller 3 10 to yuma be cool jackie brown get shorty 52 pick up and joe kidd this mean that we get tough guy some good some not so good it also mean we get tight realistic plot with character doing what is best for them in each situation weaving complication into violent conclusion killshot is no different tough slim ball killer rourke stalk unhappily married witness lane think history of violence meet no country for old men it is not a intense bloody or gory a those two but it is almost a good if you like those two including david croneberg s equally wonderful eastern promise you will like killshot also director john madden ha not done a lot of movie his last few were enjoyable if not successful proof captain corelli s mandolin and shakespeare in love diana lane ha not had a powerful movie role since she and richard gere gave incredible performance in unfaithful lately she is charming and appealing in romantic story such a night in rodanthe must love dog and under the tuscan sun here she is right on mark balancing her sexy appeal with reserved tension this is a small part for rosario dawson yet dawson doe a good job with it you see a lot more of lane including an underwear scene to rival sigourney weaver in alien and nicole kidman in eye wide shut while you are in the crime drama section also pick up kiss kiss bang bang and gone baby gone and before the devil know your dead the last ha wonderful performance by phillip seymour hoffman ethan hawke marisa tomei and albert finney killshot flopped at the box office more is our luck it is certainly worth a 3 4 dollar rental if you like this genre 6 20 2009,0,1,0.9573258826167135
this ha to be one of if not the greatest mob crime film of all time every thing about this movie is great the acting in this film is of true quality master p s acting skill make you actually believe he is italian the cinematography is excellent too probably the best ever this movie wa great and i have the brain capacity of an earth worm,0,1,0.95216511730964
spoiler ahead it is really unfortunate that a movie so well produced turn out to be such a disappointment i thought this wa full of silly clich s and that it basically tried to hard to the american guy out there how many of you spend your time jumping on your girlfriend s bed and making monkey sound to the married girl how many of you have suddenly gone from prude to nympho overnight but not with your husband to the french would you really ask about someone being la fac when you know they do not speak french would not you use a more common word like universit i lived in france for a while and i sort of do know and understand europe and i love it but my german roommate and i found this pretty insulting overall it looked like a movie funded by the european parliament and it tried too hard basically it had all sort of difference that it tried to tie together not a bad thing in itself but the result is at best awkward but in fact ridiculous too many clash that would not really happen then the end of the movie the last 10 minute ruined all the rest why doe not xavier talk to the erasmus student he meet back in paris why doe he just walk off why doe he just run away from his job is that freedom and in the end is the new europe supposed to rest on a bunch of people who smoke up and shag all day is this what it s made up of besides the acting wa pretty horrible i cannot believe judith godr che s role and acting why wa she made to look like emanuelle b art so much at first i thought xavier wa ok but with retrospect i think he wa pretty bad and that s all really too bad because technically opening credit scene when he s asking what paper he need it wa really good except for sound editing around the british sibling and the soundtrack wa great too so the form wa good but the content pretty horrible,1,0,0.9478954290160629
based on the comment made so far everyone seems to either hate this movie or love it i think it would be fair to point out that although this is not a great movie it ha it interesting moment for one thing it wa filmed on location in colorado wa it breckinridge or telluride i cannot remember but it is in the credit the location is absolutely stunning and spectacular it s beautiful even to me who lived in colorado for several year next it ha disney s penchant for wonderful character actor harry morgan ha never been in better form than when he play in a disney movie he is literally hysterical also remember the wonderful mary wickes although she ha a bit part in this movie she is great a always if you do not know who she is think of the animated disney version of hunchback from notre dame she wa one of the gargoyle and she wa also the most interesting nun in sister act a well a the best nun in the trouble with angel she ha always been a great character actress and most character actor never receive the recognition they deserve in addition to character actor and all star cast in the 1960s 1970s disney may have not had the greatest movie but if you really watch some of them from beginning to end you will notice that every movie ha some really funny or hysterical moment in it the entire movie may not be funny but there is always a comic gem at least 1 or 2 in every single live action movie disney ever made whether it s harry morgan in one of his bellowing tone of voice or tim conway floundering around or joe flynn giving one of his priceless look of horror it is all good the whole film may not be good but there are always hysterical moment in every disney film from this period that i have ever seen disney in this time period always managed to make a person smile despite the dumbness of the film bsed on these comment i disagree with viewer who say every disney movie in this time period is awful that statement it not quite accurate rather it is easier for me to give credit to the funny moment and overlook the weakness in the plot some live action disney movie are true classic old yeller bedknobs and broomstick mary poppins but for those that are not i am able to appreciate them for what they were good clean family fun in a time when movie had become vulgar crude and offensive,0,1,0.9422300638315884
this wa laurel and hardy s last silent film for roach studio however since the public had a real thirst for talkie this same short wa re made by the team just a few year later with only a few small plot change laughing gravy wa essentially the same plot except that stan and ollie were trying to hide a cute puppy from their grouchy landlord not a goat like in angora love this whole goat angle is the worst part of the film while you could understand the boy wanting to keep a cute little dog after all it is snowy outside why exactly they bring a goat home is just contrived and pointless according to the plot the goat followed them home and so they got tired of shooing it away and kept it huh this just doe not make any sense if it had been a giraffe or a cow would they have done the same thing apart from being an unconvincing plot the movie itself is pure laurel and hardy with a familiar plot and familiar role for the comedian this film feature quite a few laugh but unfortunately is not one of their better film to wrap up their silent career this aspect of their career just seems to have ended with a whimper,1,0,0.93387573972887
ameet sherri for an evening of pleasure and terror cheap special effect cheesy line yep it the original 1978 movie nurse sherri starting geoffrey land a peter desmond and jill jacobson a sherri martin and directed by al adamson the movie is about an evil ancient spirit that possesses a nurse at a hospital then she start killing doctor one by one the acting wa okay but some of the acting wa robotic the storyline wa good but the sex scene were just thrown in there probably to get more view the directing wa bad and the special effect looked like a drawing the effect did not fool anybody the death scene were pretty good but the director mixed too many thing in there that did not make any sense like the sex scene the nudity the football player and many more overall it a good movie but not the best 7 out of 10,1,0,0.9307764305186685
in all honesty i have not seen this film for many year but the few time i have tend to make part of it stick in my memory a anyone who ha seen it will understand i first saw it a a child at a ymca halloween party in the early sixty and it scared the hell out of u kid in a fun way i remember feeling genuine anxiety about the unknown thing lurking in the maze i cannot risk giving away the ending except to say that it wa surprising to say the least i remember vaguely the entire audience of young boy letting out a big scared holler followed by laughter when the terrible secret wa revealed the ending ha been seen by most viewer a one of the greatest unintentionally funny climax to a movie in film history and yet oddly moving in a way you have to see it for yourself which is not easy these day i do not know if it s available on home video or not but it would still make a great halloween feature for both kid and adult,0,1,0.9295295977968877
i enjoyed the beautiful scenery in this movie the first time i saw it when i wa 9 dunderklumpen is kind of cute for kiddy in a corny way it reminded me of hrpuffinstuff on sat morning it swedish backdrop make it easy on the eye do not expect older kid to be interested a the live action animation is way behind the time and most older kid will get bored this is definitely an under 10 age set movie and a nice bit of memory for those of u who were little kid in 1974,0,1,0.914557277826217
haggard the movie is the real life story of ryan dunn and his girlfriend who cheated on him also with the help from his two friend 1 a skate boarder who life for nothing and 2 a trying to be funny scientist which doe not really work played by bam margera and brandom dicamillo the film haggard the movie also ha a lot of the character from jackass etc but to say it wa written by bam margera and co this is a very weak attempt seems to me like it wa written when he wa bored or a a project with they did not pay a lot of attention to the film also star bam s girlfriend jennifer rivell who play glauren ryan s girlfriend who basically cheated on him again very bad acting by jennifer another actor that some people may be interested in is steve a k a hellboy played by rakeyohn which his character doe not seem to be with the story again bad acting also this character doe not really have a lot of line in this film which basically make it very boring but worst of all is raab s character the voice sound like a smoker who basically ha throat cancer also i think he could have been improved overall i think the character in this film are not with the story like in one scene it would be on one certain character a minute later a different scene different character to say that this is supposed to be a film sort of a documentary it not played by the character a a documentary the acting make you think that it a cheap attempt at making a film with your spare time towards the middle of the film we start to lose focus on the main character ryan dunn although a lot of the attention is on bam and brandon in conclusion this film is ok if you laugh at thing that are not very funny stupid stunt terrible acting and the occasional nude scene also i think there there are too many scene of just no talking and just music 7 10,1,0,0.914517557372516
simon west pg 13 thriller about a babysitter who get disturbing prank call while sitting at a mansion is neither original nor exciting enough to be called a good film although there are some element of suspense good eye candy and decent character the film is just another i know what you did last summer a it fall short of being taken seriously the performance were alright but nothing special with this flick i say skip it unless you are looking for a mediocre movie you can find better film than this on lifetime sometimes okay maybe not lifetime but at least usa or somethin haha 7 10,1,0,0.9128073360654423
